languageCode;en;es;tr;pl;da;cs
footerText;This is an automated email. Replies are not monitored or answered. ;Este es un correo electrónico automatizado. Las respuestas no son monitoreadas ni respondidas.;Bu otomatik bir e -postadır. Yanıtlar takip edilmez ya da cevaplanmaz.;Ten e-mail został wysłany automatycznie. Nie odpowiadaj na niego. Twoje wiadomości nie będą analizowane i nie otrzymasz na nie odpowiedzi.;Dette er en automatiseret e-mail. Svar modtages og besvares ikke.;Jedná se o automatický e-mail. Odpovědi nejsou monitorovány ani na ně není odpovídáno.
footerWithDateTimeText;"This is an automated email generated on ${request.date} at ${request.time}.Replies are not monitored or answered.";Este es un correo electrónico automático generado en ${request.date} a las ${request.time}. Las respuestas no se supervisan ni se contestan.;Bu eposta ${request.date}, ${request.time} tarihinde otomatik olarak oluşturulmuştur. Yanıtlar izlenmez veya yanıtlanmaz.;To jest automatyczny e-mail wygenerowany w dniu ${request.date} o godz. ${request.time}. Odpowiedzi nie są monitorowane ani nie odpowiadają na nie.;Dette er en automatiseret e-mail, der blev genereret på ${request.date} på ${request.time}. Svarene overvåges eller besvares ikke.;Toto je automatický e-mail vygenerovaný dne ${request.date} na adrese ${request.time}. Odpovědi nejsou sledovány ani na ně není odpovídáno.
footerAddress1;"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München";"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München";"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München";"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München";"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München";"Knauf Digital GmbH <br />
Landshuter Allee 10 <br />80637 München"
footerAddress2;"Seat: München <br />
Register: München HRB 248534";"Sitz: München <br />
Registrarse: München HRB 248534";"Sitz: München <br />
Kayıt: München HRB 248534";"Siedziba: München <br />
Zarejestrowany: München HRB 248534";"Sitz: München <br />
Registrer: München HRB 248534";"Sitz: Mnichov <br />
Registr: München HRB 248534"
;Monday;Lunes;Pazartesi;Poniedziałek;mandag;pondělí
;Tuesday;Martes;Salı;Wtorek;tirsdag;úterý
;Wednesday;Miércoles;Çarşamba;Środa;onsdag;středa
;Thursday;Jueves;Perşembe;Czwartek;torsdag;čtvrtek
;Friday;Viernes;Cuma;Piątek;fredag;pátek
;Saturday;Sábado;Cumartesi;Sobota;lørdag;sobota
;Sunday;Domingo;Pazar;Niedziela;søndag;neděle
;January;Enero;Ocak;Styczeń;januar;leden
;February;Febrero;Şubat;Luty;februar;únor
;March;Marzo;Mart;Marzec;marts;březen
;April;Abril;Nisan;Kwiecień;april;duben
;May;Mayo;Mayıs;Maj ;maj;květen
;June;Junio;Haziran;Czerwiec;juni;červen
;July;Julio;Temmuz;Lipiec;juli;červenec
;August;Agosto;Ağustos;Sierpień;august;srpen
;September;Septiembre;Eylül;Wrzesień;september;září
;October;Octubre;Ekim;Październik;oktober;říjen
;November;Noviembre;Kasım;Listopad;november;listopad
;December;Diciembre;Aralık;Grudzień;december;prosinec
;This is an automated email generated on ${request.date} at ${request.time}. Replies are not monitored or answered.;Este es un correo electrónico automatizado generado en $ {request.date} a $ {request.time}. Las respuestas no son monitoreadas ni respondidas.;Bu, $ {request.date} tarihinde, saat $ {request.time}'da oluşturulan otomatik bir e -postadır. Yanıtlar takip edilmez veya cevaplanmaz.;Ten e-mail został wygenerowany automatycznie w  $ {request.date} o $ {request.time}.  Twoje wiadomości nie będą analizowane i nie otrzymasz na nie odpowiedzi.;Dette er en automatiseret e-mail, der er genereret på $ {request.date} til $ {request.time}. Svar modtages og besvares ikke.;Jedná se o automatický e-mail vygenerovaný dne ${datum požadavku} v ${čas požadavku}. Odpovědi nejsou sledovány ani na ně není odpovídáno.
;Login to Knauf;Iniciar sesión en Knauf;Knauf'a giriş yapın;Zaloguj się do Knauf;Log ind på Knauf;Přihlaste se do společnosti Knauf
;Email address;Dirección de correo electrónico;E -posta adresi;Adres e -mail;E-mail adresse;Emailová adresa
;Remember me;Recuérdame;Beni Hatırla;Zapamiętaj mnie;Husk mig;Zapamatujte si mě
;Sign In;Registrarse;Kayıt ol;Zaloguj;Log ind;Přihlásit se
;Invalid email address;Dirección de correo electrónico no válida;Geçersiz e-posta adresi;Niepoprawny adres email;ugyldig e-mailadresse;Neplatná emailová adresa
;Please enter a username;Por favor, ingrese un nombre de usuario;Lütfen bir kullanıcı adı giriniz;Proszę, wpisz nazwę użytkownika;Indtast brugernavn;Prosím, zadejte uživatelské jméno
;Please enter a password;Por favor, ingrese una contraseña;Lütfen bir şifre giriniz;proszę wprowadzić hasło;Indtast adgangskode;Prosím, zadejte heslo
;Reset Password;Restablecer la contraseña;Şifreyi yenile;Zresetuj hasło;Nulstil adgangskode;Obnovit heslo
;Email or username;Correo electrónico o nombre de usuario;E-posta ya da kullanıcı adı;Email lub nazwa użytkownika;E-mail eller brugernavn;E-mail nebo uživatelské jméno
;Back to sign in;Volver para iniciar sesión;Oturum Açma Sayfasına Geri Dön;Powrót do logowania;Tilbage til login;Zpět k přihlášení
;Reset via Email;Restablecer por correo electrónico;E-posta ile sıfırlayın;Zresetuj za pośrednictwem poczty elektronicznej;Nulstil via e-mail;Obnovení e-mailem
;Email sent!;¡Email enviado!;E-posta gönderildi!;E-mail wysłany!;E-mail sendt!;Email odeslán!
;Email has been sent to {0} with instructions on resetting your password.;El correo electrónico se ha enviado a {0} con instrucciones para restablecer su contraseña.;Parolanızı sıfırlama talimatları e-posta {0} 'a gönderildi.;E -mail z instrukcjami resetowania hasła został wysłany do {0} .;E-mail er sendt til {0} med instruktioner om nulstilling af din adgangskode.;E -mail byl odeslán na {0} s pokyny pro obnovu hesla.
;Unable to sign in;No se puede acceder;Oturum açılamıyor;Zalogowanie jest niemozliwe;Kan ikke logge ind;Nelze se přihlásit
;Your account is locked because of too many authentication attempts;Su cuenta está bloqueada debido a demasiados intentos de autenticación;Hesabınız çok fazla kimlik doğrulama denemesi nedeniyle kilitlendi;Twoje konto jest zablokowane z powodu zbyt wielu prób uwierzytelnienia;Din konto er låst på grund af for mange godkendelsesforsøg;Váš účet je uzamčen kvůli příliš mnoha pokusům o ověření
;Forgot password?;¿Se te olvidó tu contraseña?;Parolanızı mı unuttunuz?;Zapomniałeś hasła?;glemt kodeord?;Zapomenuté heslo?
;Don't have an Account?;¿No tienes una cuenta?;Hesabınız yok mu?;Nie masz konta?;Har du ikke en konto?;Nemáte účet?
;Sign up for free;Registrate gratis;Ücretsiz kaydol;Zarejestruj się za darmo;Gratis tilmelding;Zaregistrujte se zdarma
